12182313.02|3912942208.38|12.60|3.30
13224991.52|4612241065.65|15.60|3.40
12858082.25|4599597205.50|14.80|3.40
12861001.54|4599839229.97|16.80|3.50
12934406.61|4607776828.87|16.90|3.50
12330567.60|4601756806.33|18.00|3.60
12243855.79|4603807067.01|16.40|3.70
12482374.47|4591365473.08|17.90|3.70
11915398.97|4602793352.05|17.20|3.80
12165174.80|4610917131.47|16.60|3.90
12068052.25|4602467987.20|17.40|3.90
12234034.10|4610589091.96|18.50|4.00
12012442.10|4602356613.10|18.00|4.10
11879652.27|4615360134.31|20.00|4.10
11697028.01|4591234119.89|19.70|4.20
11750684.25|4622222433.83|20.30|4.30
11725588.90|4601913424.87|18.70|4.30
11584514.46|4601375893.33|19.10|4.40
11381644.83|4619408331.45|21.20|4.40
11376919.73|4605457853.69|18.40|4.50
11539996.44|4560004851.17|19.40|4.60
12083820.90|4533316666.95|19.20|4.60
11417458.74|4605667894.56|17.30|4.70
11194911.02|4613849966.39|17.60|4.80
11628798.49|4567081687.01|19.10|4.80
11430835.91|4595974136.09|17.00|4.90
11715368.56|4472283933.90|19.60|4.90
11581682.72|4561531372.52|19.60|5.00
10845442.92|4662508106.94|19.10|5.10
10990309.22|4466109060.67|19.40|5.10
10955941.08|4485424971.98|18.00|5.20
10783224.15|4429713147.70|19.70|5.30
11129211.67|4429372235.87|17.70|5.30
11086435.66|4471048407.44|18.70|5.40
10878702.19|4552733624.79|21.30|5.50
11144390.85|4461631076.41|18.40|5.50
11183476.06|4466207834.49|21.50|5.60
11494459.53|4427215455.79|19.10|5.60
11083451.37|4546001413.67|20.60|5.70
10760185.27|4492533797.97|32.10|5.80
10783905.09|4456492291.31|24.20|5.80
10852598.90|4469389635.03|20.10|5.90
10897355.68|4456460355.80|19.00|6.00
10993442.42|4420682627.32|21.10|6.00
11342312.53|4478051472.45|18.30|6.10
11348012.48|4449065366.25|18.50|6.10
11448815.00|4453401526.17|21.00|6.20
11695297.03|4516378449.91|18.90|6.30
11722591.83|4480999716.68|17.20|6.30
11856077.94|4442188061.84|19.00|6.40
11601221.44|4486323604.97|18.80|6.50
11618577.61|4459275538.16|18.60|6.50
11741776.20|4448886129.70|19.40|6.60
11920022.12|4472598748.92|17.80|6.70
12272181.16|4482981642.96|19.10|6.70
11890762.38|4462119227.96|18.20|6.80
11969275.67|4458865387.72|17.90|6.80
11858198.40|4463932769.77|19.10|6.90
11788194.25|4437298095.15|20.60|7.00
11174106.22|4453116191.32|19.00|7.00
11550929.81|4425030418.84|17.60|7.10
11488605.43|4409518616.00|19.10|7.20
11721412.10|4512917766.57|18.50|7.20
11438360.07|4480428021.43|17.30|7.30
11936116.75|4462735957.13|18.20|7.40
11469173.54|4477198182.10|18.70|7.40
11442239.71|4450612564.57|17.20|7.50
11308564.58|4481660782.82|19.20|7.50
11505671.48|4453155709.97|18.10|7.60
11516407.13|4469158682.41|18.60|7.70
11614688.35|4458029367.08|18.20|7.70
11551869.95|4461934627.01|18.20|7.80
11866349.45|4467586075.36|19.60|7.90
11752586.79|4457474703.55|19.70|7.90
11358750.55|4450157978.88|19.10|8.00
11540797.99|4455649516.20|18.80|8.10
11655751.14|4485692824.40|18.40|8.10
11434779.53|4434406272.41|18.70|8.20
11423109.34|4448058542.21|18.00|8.20
11622440.55|4456991766.01|19.20|8.30
11554305.77|4448281884.89|18.10|8.40
10749365.46|3757931779.45|27.20|8.60
6407932.52|1601032004.66|49.70|9.10
3560108.19|1000897230.14|55.00|9.80
